Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-avayacloud,b'Windows 10 Pro 19044',cybercns-sec-vm, ,microsoft-ad,sentinelone
ace-bhoward-lt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-breakroom,b'Windows 10 Home 19045', , , ,sentinelone
ace-bscheerer,b'Windows 11 Pro 22621', , ,microsoft-ad,sentinelone
ace-bswesey,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-bwarren2,b'Windows 11 Pro 22621',cybercns-sec-vm, ,microsoft-ad,sentinelone
ace-castleberry,b'Windows 11 Pro 22621', , ,microsoft-ad,sentinelone
ace-danderson2,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-dotcomclerk,b'Windows 11 Pro 22621', , ,microsoft-ad,sentinelone
ace-drivera1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
ace-dspencer2,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-eroberts2,b'Windows 11 Pro 22621', , , ,sentinelone
ace-gfielding,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ace-itdash2,b'Windows 10 Pro 19044',cybercns-sec-vm, ,microsoft-ad,sentinelone
ace-kblaptop,b'Windows 10 Pro', ,huntress, , 
ace-kcole2,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-kgens1,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-kgreene,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-kgreenedesk,b'Windows 11 Pro 22621', , ,microsoft-ad,sentinelone
ace-klane2,b'Windows 11 Pro 22621',cybercns-sec-vm, ,microsoft-ad,sentinelone
ace-lansweeper,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-lem11,b'Windows 11 Pro for Workstations 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-lorexfo,b'Windows 11 Pro', , ,microsoft-ad,sentinelone
ace-mnlaptop,b'Windows 10 Pro 19045', , ,microsoft-ad,sentinelone
ace-mnlaptop2,b'Windows 10 Pro 19044', , ,microsoft-ad,sentinelone
ace-mroland10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-mrolandnb,b'Windows 10 Pro', , ,microsoft-ad, 
ace-nasserver1, , , ,microsoft-ad, 
ace-pengxu-lt,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone
ace-petesh01,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-production,b'Windows 10 Pro 19044', , ,microsoft-ad,sentinelone
ace-rblackwork,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-scheererdesk,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-scotthaugh,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-ship01b,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-ship2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ace-ship3,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
