Asset Name,OS,huntress,microsoft-ad,sentinelone
20200520-001,b'Windows 10 Pro',huntress,microsoft-ad, 
20201020-001,b'Windows 10 Pro',huntress,microsoft-ad, 
20201111-001,b'Windows 10 Pro',huntress,microsoft-ad, 
20201215-002,b'Windows 10 Enterprise',huntress,microsoft-ad, 
20210118-010,b'Windows 10 Pro',huntress,microsoft-ad, 
20210118-011,b'Windows 10 Pro',huntress,microsoft-ad, 
20210118-012,b'Windows 10 Pro',huntress,microsoft-ad, 
20210510-001,b'Windows 10 Pro',huntress,microsoft-ad, 
20220812-001,b'Windows 10 Pro',huntress,microsoft-ad, 
20220822-001,b'Windows 10 Pro',huntress,microsoft-ad, 
20221028-001,b'Windows 10 Pro',huntress,microsoft-ad, 
20221219-001,b'Windows 10 Pro', ,microsoft-ad, 
20230123-001,b'Windows 10 Pro', ,microsoft-ad, 
20230418-001,b'Windows 10 Pro', ,microsoft-ad, 
20230424-001,b'Windows 10 Pro', ,microsoft-ad, 
alawrey,b'Windows 10 Pro',huntress,microsoft-ad, 
albar-app,b'Windows Server 2016 Standard',huntress,microsoft-ad, 
albar-auth,b'Windows Server 2016 Standard',huntress,microsoft-ad, 
albar-backup, , ,microsoft-ad, 
albar-ca2,b'Windows Server 2016 Standard',huntress,microsoft-ad, 
albar-dc1,b'Windows Server 2016 Standard',huntress,microsoft-ad, 
albar-dc2,b'Windows Server 2016 Standard',huntress,microsoft-ad, 
albar-edi,b'Windows 10 Pro',huntress,microsoft-ad, 
albar-iqms,b'Windows Server 2016 Standard',huntress,microsoft-ad, 
albar-mail,b'Windows Server 2016 Standard',huntress,microsoft-ad, 
albar-nas, , ,microsoft-ad, 
albar-nvr, , ,microsoft-ad, 
asherington2,b'Windows 10 Pro',huntress,microsoft-ad, 
assy3a,b'Windows 10 Pro',huntress,microsoft-ad, 
astair2,b'Windows 10 Pro',huntress,microsoft-ad, 
ccab,b'Windows 10 Pro',huntress,microsoft-ad, 
cfournier,b'Windows 10 Pro',huntress,microsoft-ad, 
chrismay,b'Windows 10 Pro',huntress,microsoft-ad, 
dellmobile002,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
desktop-3auhi3g,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-4vpd1pg,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-5bpsfn7,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-61cqr1o,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-65f04pm,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-6pgm7vd,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-a8onhb2,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-e9oipq9,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-hl9c3jm,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-iafn4oh,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-jv7p5qm,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-pphrca7,b'Windows 10 Pro',huntress,microsoft-ad, 
desktop-uor6jf7,b'Windows 10 Pro',huntress,microsoft-ad, 
display-l3pw,b'Windows 10 Pro',huntress,microsoft-ad, 
dmay,b'Windows 10 Pro', ,microsoft-ad, 
dwsmith,b'Windows 10 Pro',huntress,microsoft-ad, 
ebrown,b'Windows 10 Pro',huntress,microsoft-ad, 
eng-display,b'Windows 10 Pro',huntress,microsoft-ad, 
folaptop,b'Windows 10 Pro',huntress,microsoft-ad, 
frontconf,b'Windows 10 Pro', ,microsoft-ad, 
gbloomberg,b'Windows 10 Pro for Workstations',huntress,microsoft-ad, 
gcurtis,b'Windows 10 Pro',huntress,microsoft-ad, 
hmakin,b'Windows 10 Pro',huntress,microsoft-ad, 
hrlaptop-1,b'Windows 10 Pro',huntress,microsoft-ad, 
intrinsic001,b'Windows 10 IoT Enterprise 19044',huntress,microsoft-ad,sentinelone
iqms-test,b'Windows Server 2016 Standard',huntress,microsoft-ad, 
itreporting,b'Windows 10 Pro',huntress,microsoft-ad, 
kettering02,b'Windows 10 Pro', ,microsoft-ad, 
kpellens,b'Windows 10 Pro',huntress,microsoft-ad, 
krheaume,b'Windows 10 Pro',huntress,microsoft-ad, 
l3andon,b'Windows 10 Pro',huntress,microsoft-ad, 
l3base2,b'Windows 10 Pro',huntress,microsoft-ad, 
l3clear,b'Windows 10 Pro 19044', ,microsoft-ad,sentinelone
l3iqmsload,b'Windows 10 Pro',huntress,microsoft-ad, 
l3offload,b'Windows 10 Pro',huntress,microsoft-ad, 
ldukes,b'Windows 10 Pro',huntress,microsoft-ad, 
learning-center,b'Windows 10 Pro',huntress,microsoft-ad, 
lfair,b'Windows 10 Pro',huntress,microsoft-ad, 
mat2022,b'Windows 10 Pro',huntress,microsoft-ad, 
materialsmgr,b'Windows 10 Pro',huntress,microsoft-ad, 
mdiehl2,b'Windows 10 Pro',huntress,microsoft-ad, 
mfair-laptop,b'Windows 10 Pro',huntress,microsoft-ad, 
mgerics,b'Windows 10 Pro for Workstations', ,microsoft-ad, 
nfournier,b'Windows 10 Pro',huntress,microsoft-ad, 
officedisplay,b'Windows 10 Pro',huntress,microsoft-ad, 
plc001,b'Windows 10 Pro',huntress,microsoft-ad, 
qc-lab-cameras,b'Windows 10 Pro',huntress,microsoft-ad, 
qclab,b'Windows 10 Pro',huntress,microsoft-ad, 
qclab2,b'Windows 10 Pro',huntress,microsoft-ad, 
rmarch,b'Windows 10 Pro',huntress,microsoft-ad, 
rreppuhn,b'Windows 10 Pro',huntress,microsoft-ad, 
sanddeck,b'Windows 10 Pro',huntress,microsoft-ad, 
setupboard3,b'Windows 10 Pro',huntress,microsoft-ad, 
setupdisplay,b'Windows 10 Pro',huntress,microsoft-ad, 
sgriffin,b'Windows 10 Pro',huntress,microsoft-ad, 
smallparts,b'Windows 10 Pro', ,microsoft-ad, 
tharper,b'Windows 10 Pro',huntress,microsoft-ad, 
tschwerin,b'Windows 10 Pro',huntress,microsoft-ad, 
woodruff,b'Windows 10 Pro',huntress,microsoft-ad, 
