Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
barney,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
bassoon02,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
bedrock,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress, ,sentinelone
betty,b'Windows Server 2022 Standard 20348',cybercns-sec-vm, ,microsoft-ad,sentinelone
cback01,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
cback02,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-adm305,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-adm310,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-adm311,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
cfcd-adm395,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-comp210b,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-comp211c,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-comp213c,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-comp214,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-comp215,b'Windows 10 Pro 19044', , ,microsoft-ad,sentinelone
cfcd-comp216,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
cfcd-comp217,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-comp218,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-plant402b,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
cfcd-plant406b,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-plant411,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-plant413,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-plant414,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-rip001e,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
cfcd-rip003b,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-rip004b,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
cfcd-rip005,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-rip006,b'Windows 11 Pro', , ,microsoft-ad, 
cfcd-sales503b,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-sales504,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
cfcd-ship1d,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-ship2d,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-svc205d,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-svc209b,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcd-svc210b,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
gazoo,b'Windows Server 2022 Standard 20348',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
gmc01,b'Windows Server 2019 Standard 17763', ,huntress,microsoft-ad,sentinelone
poobah,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress, ,sentinelone
prisma,b'SUSE Enterprise Server 12 SP5 4.12.14-122.116-default', , , ,sentinelone
prisma2,b'SUSE Enterprise Server 12 SP5 4.12.14-122.136-default', , , ,sentinelone
