Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
001119025d49600,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
a ghost,b'OS X 13.2.1 (22D68)', , , ,sentinelone
acumin,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ali-lenovo,b'Windows 10 Pro', ,huntress, , 
appserv,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
copitrak-ers,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
data01,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
data02,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dc02,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dc03,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-2bhfdca,b'Windows 11 Home 22621',cybercns-sec-vm, , ,sentinelone
desktop-8m7e5su,b'Windows 10 Pro 19045', , , ,sentinelone
desktop-ol0jh06,b'Windows 11 Pro 22621',cybercns-sec-vm, , ,sentinelone
desktop-q3ciaub,b'Windows 10 Pro 19045',cybercns-sec-vm, , ,sentinelone
desktop-uj8j36m,b'Windows 11 Home 22621',cybercns-sec-vm,huntress, ,sentinelone
doak-shrd-07y2z,b'Windows 10 Pro', ,huntress,microsoft-ad, 
doak-ws-911z7xg,b'Windows 10 Education 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
doak-ws-bkohler,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
doak-ws-hspencer,b'Windows 10 Pro 19045',cybercns-sec-vm, ,microsoft-ad,sentinelone
doak-ws-j0g01gz,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
doak-ws-j0g01h4,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
doak-ws-j0hpxln,b'Windows 10 Pro 19045',cybercns-sec-vm, ,microsoft-ad,sentinelone
doak-ws-kl,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
doak-ws-mtebbutt,b'Windows 10 Pro 19044',cybercns-sec-vm, ,microsoft-ad,sentinelone
doak-ws-nc3461,b'Windows 10 Pro 19043',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ds-lp-pf1cpdan,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
ds-mgmt,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ds-ws-lturner,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hlp-rsommerey,b'Windows 11 Home 22621',cybercns-sec-vm,huntress, ,sentinelone
hm-bstewart,b'Windows 10 Pro 19041', ,huntress,microsoft-ad,sentinelone
hm-jarkle,b'Windows 10 Pro', ,huntress,microsoft-ad, 
hm-lturner,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hm-mgibbons,b'Windows 10 Pro 19042',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hm-schambers,b'Windows 10 Pro 19042',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hm-tmiller,b'Windows 10 Pro 19042',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hs-bstewart,b'Windows 10 Pro 19042', ,huntress,microsoft-ad,sentinelone
hs-tkucher,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-p035r9lh,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
lmitchell-surface7,b'Windows 11 Home 22621',cybercns-sec-vm,huntress, ,sentinelone
mj0g9lv7,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
nikitas-macbook-air,b'OS X 13.1 (22C65)', , , ,sentinelone
shivauns-macbook-air,b'OS X 11.5 (20G71)', , , ,sentinelone
sommerey-home,b'Windows 10 Pro 19045',cybercns-sec-vm, , ,sentinelone
ws-ahill,b'Windows 10 Pro 19043',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ws-atrent,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ws-bstewart,b'Windows 10 Pro 19043',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ws-claird,b'Windows 10 Pro 19043',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
