Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
3cxphonesys,b'Windows Server 2019 Standard 17763', ,huntress,microsoft-ad,sentinelone
abrown-gsoii,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
acamp-rtp,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
ajones-rtp,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
alewis-gso,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
areece-gso,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
barthur-gso,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
bmccormick,b'Windows 10 Pro 19042', ,huntress,microsoft-ad,sentinelone
bradm-gso,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad, 
briang-gso,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
carlar-gso,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ccollins-gso,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cdw-gso,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
chrisp-gso,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cpickard-gso,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad, 
ctucker-gso,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
cubiscan,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cwynne-gso,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone
cwyssbrod-gso,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dbeck-gso,b'Windows 10 Pro for Workstations 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-1sskgdq,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
desktop-5p2hd7a,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
desktop-f97u21i,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
desktop-n04co1t,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
desktop-qotgjr9,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
desktop-u4j355a,b'Windows 10 Pro', ,huntress,microsoft-ad, 
dharris-gso,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dhuneycutt-rmt,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
dipti-lt,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
dsmith-gso,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
e6530-gso,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
eburns-gso,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
ecommgr-gso,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone
ehanley-rtp,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
ejonesii-gso,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
ellish-rtp,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
engraver-gso,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
es&e’s macbook pro,b'OS X 12.6.3 (21G419)', , , ,sentinelone
ese-autostore-app,b'Windows Server 2016 Standard 14393', ,huntress,microsoft-ad,sentinelone
ese-biz,b'Windows Server 2012 R2 Standard 9600', ,huntress,microsoft-ad,sentinelone
ese-dc1,b'Windows Server 2019 Standard 17763', ,huntress,microsoft-ad,sentinelone
ese-dc2,b'Windows Server 2016 Standard 14393', ,huntress,microsoft-ad,sentinelone
ese-dc3,b'Windows Server 2016 Standard 14393', ,huntress,microsoft-ad,sentinelone
ese-dc5,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ese-dc6,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ese-edocs,b'Windows Server 2019 Standard 17763', ,huntress,microsoft-ad,sentinelone
ese-exacta-app,b'Windows Server 2016 Standard 14393', ,huntress,microsoft-ad,sentinelone
ese-exacta-pri-db,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ese-exacta-secondary-db,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
