Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
a1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ap-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
asif,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
bruce,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
cage2-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
camworks,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
chill-desktop,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cnc01-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
convshop-2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
courtney,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
crisd,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
csr2-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
d22,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
d23,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
d37,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
d38,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
deb33,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-de0lcq2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-fftsgkc,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
desktop-n4j62o9,b'Windows 10 Pro', ,huntress, , 
desktop-qgpcv6t,b'Windows 10 Pro', ,huntress,microsoft-ad, 
dev55,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dl1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
dl10,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl11,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl12,b'Windows 10 Pro 19044', , , ,sentinelone
dl12,b'Windows 10 Pro', ,huntress,microsoft-ad, 
dl2,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl3,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl4,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl5,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl6,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl7,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl8,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dl9,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
dom-69khcs3,b'Windows 11 Enterprise 22621', ,huntress,microsoft-ad,sentinelone
dom-box2-w10,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone
dom-mbp-2020,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
donna-ilap,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
donna-office,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
e1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
e2,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
electronics,b'Windows 10 Pro 19041',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
eng10-1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
eng12,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
eng15-2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
eng17-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
eng2-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
eng3-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
eng7-3,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ericmacbookpro,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
fedex-hp,b'Windows 10 Enterprise 2016 LTSB', ,huntress, , 
gloria-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
haas-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
heather-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
heather2,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
hrm,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
j-dell-w7-1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
john-1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
jojo2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
karine-1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
kiosk,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
kristin,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
kt-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
m1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
markp-devvm,b'Windows 10 Pro', , ,microsoft-ad, 
mauricio-dell-w7-1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
modula2,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
nadiah11,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
nadov,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
nelson-xps12,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
parts-left-1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
parts-right-1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
parts3,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
paul-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
pierre-mbp-w11,b'Windows 11 Pro', ,huntress,microsoft-ad, 
pm1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
pm3,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
radius,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
receiving-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
reception-1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
repairs-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
robert,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
s3-1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sa7,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sales3,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
sales4,b'Windows 10 Pro 19044', , , ,sentinelone
sb10,b'Windows 11 Pro 22000', ,huntress,microsoft-ad,sentinelone
sb2,b'Windows 10 Pro', ,huntress,microsoft-ad, 
sb3,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sb6,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sb7,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sb9,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
service12,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
service27,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
service5,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
service6,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
service7,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
service8,b'Windows 10 Pro 19044', , ,microsoft-ad,sentinelone
sidra,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
steve3,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
surf10,b'Windows 10 Pro', ,huntress,microsoft-ad, 
surf11,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf14,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf15,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf16,b'Windows 10 Pro', ,huntress,microsoft-ad, 
surf17,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf201,b'Windows 10 Pro', ,huntress,microsoft-ad, 
surf21,b'Windows 10 Pro', ,huntress,microsoft-ad, 
surf22,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf23,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
surf24,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf25,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf26,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf27,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf28,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
surf29,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf30,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
surf31,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf32,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
surf33,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf34,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf35,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf36,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
surf37,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf39,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf40,b'Windows 10 Pro', ,huntress,microsoft-ad, 
surf42,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
surf44,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
surf45,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
surf46,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
surf47,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone
surf48,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone
surf49,b'Windows 11 Pro', ,huntress,microsoft-ad, 
surf50,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
surf7,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
surf9,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vadconnect,b'Windows Server 2019 Standard', ,huntress,microsoft-ad, 
