Asset Name,OS,huntress,microsoft-ad,sentinelone
acct-svr,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
customerserv-dt,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
desktop-42h4mm7,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
desktop-57furir,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-b2h1ftn,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-hill,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-marc,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
desktop-nathan,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
desktop-recep,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-sandra,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
desktop-sheila,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-terry,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
desktop-x4650,b'Windows 10 Pro', ,microsoft-ad, 
dt-classroom,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hite-svr-dc,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jacques-lt,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
laptop-47676,b'Windows 10 Pro', ,microsoft-ad, 
laptop-bh5ad207,b'Windows 10 Pro', ,microsoft-ad, 
laptop-i8vlcrg4,b'Windows 10 Pro', ,microsoft-ad, 
laptop-roch,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
laptop-uvkqfmte,b'Windows 10 Pro', ,microsoft-ad, 
luc-dt-pc,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
parts-desktop,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
ritchie-hp,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
sc-svr,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
