Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
accountingpc01,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
accountingpc02,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone
as6508t-5ccb,b'windows',cybercns-sec-vm, , , 
assign-3,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
assign-3,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
assign1,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
assign1,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
assign2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
assign4,b'Microsoft Windows 11 Pro',cybercns-sec-vm, , , 
assign4,b'Windows 11 Pro 22000', ,huntress, ,sentinelone
br1-service,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
br2-service,b'Windows 11 Pro 22000', ,huntress, ,sentinelone
br2-servicemgr,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone
branch2scan,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
branch2scan,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
brittany-lexmark, ,cybercns-sec-vm, , , 
casort,b'Windows Server 2022 Standard 20348',cybercns-sec-vm,huntress, ,sentinelone
cbv-5,b'Windows 11 Pro 22000', ,huntress, ,sentinelone
cbv1,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
cbv1,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
cbv3,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
cbv3,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
cbv7,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
cbv8,b'Windows 10 Pro 18362', ,huntress, ,sentinelone
cbv9,b'Windows 10 Pro', ,huntress, , 
charlespc,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
cow-1,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
cow2,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress, ,sentinelone
desktop-jh892vs,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
desktop-jjuhes5,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
eaddington-k22,b'Windows 11 Enterprise 22621',cybercns-sec-vm,huntress, ,sentinelone
frankpc,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress, ,sentinelone
halifax-dce12,b'Windows Server 2008 R2 Standard', ,huntress, , 
halifax-it,b'Windows Server 2022 Standard 20348',cybercns-sec-vm,huntress, ,sentinelone
hls-alliant13,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress, ,sentinelone
hls-dc23,b'Windows Server 2022 Datacenter 20348',cybercns-sec-vm,huntress, ,sentinelone
hls-g,b'Windows Server 2022 Standard 20348',cybercns-sec-vm,huntress, ,sentinelone
hls-pc-wayne,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone
hls-torian,b'Microsoft Windows 11 Pro',cybercns-sec-vm, , , 
hls-torian,b'Windows 11 Pro 22621', , , ,sentinelone
hls-wm-bobby,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
hls-wm-jeff,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
hlsbackup,b'linux based os',cybercns-sec-vm, , , 
host,b'windows',cybercns-sec-vm, , , 
hpdfc5ef, ,cybercns-sec-vm, , , 
hrmgr-laptop,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
iron4,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
jen-tunnel,b'Microsoft Windows 11 Pro',cybercns-sec-vm, , , 
jen-tunnel,b'Windows 11 Pro 22000', ,huntress, ,sentinelone
jodi-maynard,b'Microsoft Windows 11 Pro',cybercns-sec-vm,huntress, , 
jpardue-j21,b'Microsoft Windows 11 Enterprise',cybercns-sec-vm,huntress, , 
linenpc01-e21,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
loadout1,b'Microsoft Windows 11 Pro',cybercns-sec-vm, , , 
loadout1,b'Windows 11 Pro 22000', ,huntress, ,sentinelone
matroller,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
matroller,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
mentor1,b'windows',cybercns-sec-vm, , , 
monitoring1,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
monitoring1,b'Windows 10 Pro 18362', ,huntress, ,sentinelone
npi145ad1,b'linux based os',cybercns-sec-vm, , , 
npi6883a5,b'linux based os',cybercns-sec-vm, , , 
npic85ef1,b'linux based os',cybercns-sec-vm, , , 
office-pc01,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
portal-3,b'Microsoft Windows 11 Pro',cybercns-sec-vm, , , 
portal-3,b'Windows 11 Pro 22000', ,huntress, ,sentinelone
portal1,b'Microsoft Windows 11 Pro',cybercns-sec-vm, , , 
portal1,b'Windows 11 Pro 22000', ,huntress, ,sentinelone
portal2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
positekvm1,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
positekvm2,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
positekvm5,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
prestonlaptop,b'Windows 10 Enterprise 19045', ,huntress, ,sentinelone
prestonm-a23,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone
sage,b'Windows Server 2022 Datacenter 20348',cybercns-sec-vm,huntress, ,sentinelone
sbeaver-surface,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
service-br1,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , , 
service-br1,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
shop-vaio,b'Windows 7 Home Premium', ,huntress, , 
soil,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
soil-hf,b'Microsoft Windows 11 Pro',cybercns-sec-vm, , , 
soil-hf,b'Windows 11 Pro 22000', ,huntress, ,sentinelone
speedwayr-11-68-6e,b'linux_kernel',cybercns-sec-vm, , , 
tcapps-remote,b'Windows 10 Enterprise', ,huntress, , 
uniform,b'Windows 11 Enterprise 22000',cybercns-sec-vm,huntress, ,sentinelone
uniform3,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress, ,sentinelone
versalink c7025, ,cybercns-sec-vm, , , 
wallofcomputers,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
warehousemgr,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress, ,sentinelone
wendy-surface,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
192.168.1.26, ,cybercns-sec-vm, , , 
