Asset Name,OS,huntress,microsoft-ad,sentinelone
arcdsk-lwack,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
files,b'Windows Server 2016 Datacenter 14393',huntress,microsoft-ad,sentinelone
hdidsk-temp-16,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hdidsk-teresa,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hdidsk-vince-19,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hdilap-conmgr,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hdilap-lwack-22,b'Windows 10 Pro', ,microsoft-ad, 
helpdesk,b'Windows Server 2016 Datacenter 14393',huntress,microsoft-ad,sentinelone
hmi-mederxps,b'Windows 10 Pro 19044',huntress, ,sentinelone
hmidsk-chkscn-20,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmidsk-confrm-18,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmidsk-dfunk-19,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
hmidsk-jharris-21,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmidsk-jhasst-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmidsk-lrivedal,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmidsk-maint,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-alewicki-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-bbowers,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-blair-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-cobrien-22,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-cottrell-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-harrisxps,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-heather,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-jack,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-jbidka,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-jruss-20,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-kaminski-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-klawson-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-lbarnhart,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-loaner10,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-loaner11,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-loaner12,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-loaner13,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-loaner14,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-loaner15,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-loaner16,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-loaner5,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-loaner6,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-loaner7,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmilap-loaner9,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-lschott-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-maroni,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-mszuch-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-padamic-20,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-smcmahon21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-socmed21,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
hmilap-stafford,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-tjenkins-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmilap-tree-19,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
hmilap-ttravis-21,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
hmitab-rice-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
hmivm-checkup,b'Windows Server 2016 Datacenter 14393',huntress,microsoft-ad,sentinelone
hmivm-mas-22,b'Windows Server 2022 Standard 20348',huntress,microsoft-ad,sentinelone
hmivm-portal,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad,sentinelone
hmivm-ts01,b'Windows Server 2016 Standard 14393',huntress,microsoft-ad,sentinelone
hmts01,b'Windows Server (R) 2008 Standard',huntress,microsoft-ad, 
host1,b'Windows Server 2016 Datacenter 14393',huntress, ,sentinelone
lnv-mj07hzj2,b'Windows 10 Pro 19044',huntress, ,sentinelone
maindc,b'Windows Server 2016 Datacenter 14393',huntress,microsoft-ad,sentinelone
mondsk-actmini,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
mondsk-aln-mini,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
mondsk-dietmini,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
mondsk-maintmini,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
mondsk-norns1-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
mondsk-northns2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
mondsk-nur1mini,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
mondsk-nurmini,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
monlap-admin-19,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
monlap-admissions-18,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
monlap-adon-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
monlap-emar1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
monlap-emar2,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
monlap-emar3,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
monlap-emar4,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
monlap-envsvc,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
monlap-marketing,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
monlap-om-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
printers,b'Windows Server 2016 Standard 14393',huntress,microsoft-ad,sentinelone
rc1aio-ksk1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1aio-ksk2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1aio-ksk4,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1aio-ksk5,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1aio-ksk7,b'Windows 10 Pro 14393',huntress, ,sentinelone
rc1aio-ksk8,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-act-16,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-backns14,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-backns19,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
rc1dsk-cd-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc1dsk-dm-16,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-frontnursing,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-laundry,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-maint,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc1dsk-prognur-16,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-recpt,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-ss2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1dsk-wellness,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc1lap-admin-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-admissions,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-adon-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-aptactiv,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-don-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-emar-b,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-emar01,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-emar02,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc1lap-emar03,b'Windows 10 Pro',huntress,microsoft-ad, 
rc1lap-emar05,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-emarcov-22,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
rc1lap-md-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-mds-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc1lap-om-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc1lap-trans,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2aio-nurse1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2dsk-ad,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2dsk-backns-15,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2dsk-dm-18,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc2dsk-maint,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2dsk-medrec,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc2dsk-public-18,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2dsk-rn-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc2dsk-ss-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2dsk-wellnur,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc2dsk-wonder-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-admin-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-adon-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-don-21,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc2lap-emar1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-emar2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-emar3-17,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-emar4,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-emar6,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-market-18,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-mds-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc2lap-oc-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3aio-ksk1,b'Windows 10 Pro 19044',huntress, ,sentinelone
rc3aio-ksk4,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3aio-ksk5,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3dsk-alpub-17,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3dsk-assment,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3dsk-backns-14,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3dsk-concierge,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3dsk-dm-18,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3dsk-library-17,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3dsk-maint-17,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3dsk-medrec-15,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3dsk-nurse1-15,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3dsk-pn-14,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3dsk-spare,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3dsk-ss19,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3dsk-train-18,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-activ-15,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-admin-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3lap-dawson,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-don-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-emar11,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-emar2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-emar3,b'Windows 10 Pro 19044',huntress, ,sentinelone
rc3lap-emar4-17,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3lap-emar5-17,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3lap-marketing,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-mds-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-suc-18,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc3lap-tabspare,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc3lap-tramos-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc4dsk-alnur-20,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
rc4dsk-bknur-19,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc4dsk-dietary-17,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4dsk-maint-18,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc4dsk-nrs1-19,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4dsk-pn-17,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc4dsk-ss-18,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc4dsk-wellness-15,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-activ-18,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-admin-22,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc4lap-adon,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-alemar,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-backemar,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-don-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-emar1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-emar3,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-marketing-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-mds1-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc4lap-offm-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5aio-ns1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5aio-ns2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5dsk-act-18,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc5dsk-dietary,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5dsk-maint-18,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc5dsk-mr-20,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
rc5dsk-ss19,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc5dsk-unitnmgr19,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc5lap-admin-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc5lap-adon,b'Windows 10 Pro',huntress,microsoft-ad, 
rc5lap-adon-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5lap-don-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5lap-emar1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5lap-emar2,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc5lap-emar3,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5lap-mds-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc5lap-oc-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6dsk-activ-17,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc6dsk-alnurse-17,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6dsk-dietary-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc6dsk-frntnur-18,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6dsk-maint-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc6dsk-medrec-18,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6dsk-northns-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc6dsk-prognur-17,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6dsk-ss,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc6dsk-transport,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc6lap-adon-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6lap-ar-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6lap-don21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6lap-emar01-17,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6lap-emar01-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6lap-emar02-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6lap-marketing,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rc6lap-mds1-21,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rc6lap-om-21,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rclap-emarloaner,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rd6dsk-ns1-19,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
seslap-man-19,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
smldsk-ad-19,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
smldsk-chef-17,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
smldsk-oa-20,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
smllap-maint-16,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
smllap-man-22,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
smllap-nurse,b'Windows 10 Pro 17763',huntress,microsoft-ad,sentinelone
spadsk-off-19,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
