Asset Name,OS,huntress,microsoft-ad,sentinelone
01gen0919,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
02ind2017,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
05gen1222,b'Windows 11 Pro 22621', ,microsoft-ad,sentinelone
07ind2021,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
10ind2016,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
10ind2019,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
11ind2021,b'Windows 10 Pro 22621',huntress,microsoft-ad,sentinelone
1alloy17,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
1gen1122,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
1gen1319,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
1ind2018,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
1ind3817,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
1man5023,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
2ind2019,b'Windows 10 Pro 19045',huntress, ,sentinelone
3gen9323,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
5ind2021,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
5ind2022,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
6gen1322,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
6ind2018,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
6ind20us220,b'Windows 10 Pro 22621',huntress,microsoft-ad,sentinelone
7gen1320,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
7ind2017,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
and06rep19,b'Windows 10 Pro 19042',huntress,microsoft-ad,sentinelone
and16us219,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
and19us216,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
and29mgr21,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
and30rep21,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
and31rec22,b'Windows 11 Pro 22000',huntress,microsoft-ad,sentinelone
andsen01mgr19,b'Windows 10 Pro 17763',huntress,microsoft-ad,sentinelone
andtraining,b'Windows 10 Pro N 19045',huntress,microsoft-ad,sentinelone
applap007,b'Windows 10 Pro',huntress,microsoft-ad, 
applap010a,b'Windows 10 Pro N 19045',huntress,microsoft-ad,sentinelone
