Asset Name,OS,huntress,microsoft-ad,sentinelone
arcgis2,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
bgray-l,b'Windows 11 Pro for Workstations 22621',huntress,microsoft-ad,sentinelone
bmoore-dell,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
bthomason-l,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
dev-workstation,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
domain1,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
domain2,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
dwaid,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
dwaid-5820,b'Windows 10 Pro for Workstations 19045',huntress,microsoft-ad,sentinelone
exchange,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad,sentinelone
gosolis,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
hmailserver,b'Windows Server 2022 Standard 20348',huntress,microsoft-ad,sentinelone
iceasb1,b'Hyper-V Server 17763',huntress,microsoft-ad,sentinelone
iceasb2,b'Hyper-V Server 17763',huntress,microsoft-ad,sentinelone
iceasb3,b'Hyper-V Server 17763',huntress,microsoft-ad,sentinelone
iceasb4,b'Hyper-V Server 17763',huntress,microsoft-ad,sentinelone
iceasb5,b'Hyper-V Server 17763',huntress,microsoft-ad,sentinelone
jjohnson-l,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
kibana2,b'Windows Server 2022 Standard 20348',huntress, ,sentinelone
loggingcf,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
loggingrancher,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
lschroeder,b'Windows 11 Pro',huntress,microsoft-ad, 
mmathers-5820,b'Windows 10 Pro for Workstations 19045',huntress,microsoft-ad,sentinelone
mssql,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
mssqldev,b'Windows Server 2022 Standard 20348',huntress,microsoft-ad,sentinelone
nas1,b'Windows Server 2022 Standard 20348',huntress,microsoft-ad,sentinelone
tschommer-l,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
webdevelopment,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
webserverproduction,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
webtest,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
