Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
4500,b'3com 3com',cybercns-sec-vm, , , 
4kmaster-822,b'Windows 10 Pro 19042',cybercns-sec-vm,huntress, ,sentinelone
90-pc,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
a101instr,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
a103inst,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
a104instr,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
a107inst,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
aaronk2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
aarons1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
admissions,b'linux_kernel',cybercns-sec-vm, , , 
admwork,b'Windows 10 Pro 19045',cybercns-sec-vm, ,microsoft-ad,sentinelone
admworkstdy2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
adulted14,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
adulted15,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
adulted16,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
adulted17,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
adulted18,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
adulted19,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
adulted20,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
adulted_inst,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
advising1,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
advising2,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
alanp1,b'Windows 11 Pro',cybercns-sec-vm,huntress,microsoft-ad, 
alexc1,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
amazon-3e1a4d974, ,cybercns-sec-vm, , , 
amazon-99074210f, ,cybercns-sec-vm, , , 
android-8ca663508fc58e56, ,cybercns-sec-vm, , , 
aprilb1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
archanal2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
archanalck,b'Windows 10 Pro 19045',cybercns-sec-vm, , ,sentinelone
ashleym3,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ashleys1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
athletics1, ,cybercns-sec-vm, , , 
athleticstats,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
athwork1,b'Windows 7 Professional  7601 SP1',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
avaya,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
barracuda,b'windows',cybercns-sec-vm, ,microsoft-ad, 
baseball,b'linux_kernel',cybercns-sec-vm, , , 
basebasst1,b'Windows 10 Education 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
blink-mini, ,cybercns-sec-vm, , , 
bookstore1,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
brandii2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
brandim1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
brianv2,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
brittanyh2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
businessoffice,b'linux_kernel',cybercns-sec-vm, , , 
buswrkstdy1,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
c101adj,b'Windows 7 Professional  7601 SP1', , , ,sentinelone
c116,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cafe1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
camview,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
canon504e31, ,cybercns-sec-vm, , , 
canon56d921, ,cybercns-sec-vm, , , 
canon7e5724, ,cybercns-sec-vm, , , 
canond0ae9b, ,cybercns-sec-vm, , , 
carlyb1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cathyh2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cathyk2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
charlie-ipc,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
charlie-pm,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
chem003,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
chem011,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
chem012,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
chem04,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
chem1,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
chem10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
chem2,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
chem5,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
chem6,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
chem7,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
chem9,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
cherfac1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cherfac2,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
cherokee106,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
cherokee107,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cherokee111,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cheryls2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
chriss1,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ck110-01,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-02,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-03,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-04,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-05,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-06,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-07,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-08,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-09,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-10,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-12,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-13,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-14,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-15,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-16,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-17,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-18,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-19,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-20,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck110-fac,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
ck115class,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ckgedserv,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
ckmonitor,b'Windows 7 Professional  7601 SP1',cybercns-sec-vm, ,microsoft-ad,sentinelone
cknvr,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ckserver1,b'Windows 7 Professional  7601 SP1', , , ,sentinelone
ckstu1,b'Windows 7 Professional  7601 SP1', , , ,sentinelone
ckstu2,b'Windows 7 Professional  7601 SP1', , , ,sentinelone
ckstu3,b'Windows 7 Professional  7601 SP1', , , ,sentinelone
ckstu4,b'Windows 7 Professional  7601 SP1', , , ,sentinelone
cktest1,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
cktest2,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
cktest3,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
cktest4,b'Windows 10 Pro 18363', ,huntress, ,sentinelone
classcomp,b'windows',cybercns-sec-vm, ,microsoft-ad, 
cleanmachine,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
codyn19,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
coleenc2,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
colinc1,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
connies1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dana,b'OS X 12.6.5 (21G531)',cybercns-sec-vm,huntress, ,sentinelone
danae3,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
daneenl2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
darciem2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dbbackup,b'Windows 10 Pro 19045', , ,microsoft-ad,sentinelone
dc10,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dc3,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dc30,b'Windows Server 2019 Standard 17763', ,huntress, ,sentinelone
deannah1,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
deeb3,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dental100,b'Windows 10 Pro 19043', ,huntress, ,sentinelone
dental200,b'Windows 10 Pro 19043', ,huntress, ,sentinelone
dental300,b'Windows 10 Pro 19043', ,huntress, ,sentinelone
dental400,b'Windows 10 Pro 19043', ,huntress, ,sentinelone
dental500,b'Windows 10 Pro 19043', ,huntress, ,sentinelone
dental600,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
desktop-6k4rd9m,b'Windows 11 Pro 22621', ,huntress, ,sentinelone
desktop-8s6ef94,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
desktop-cu6ufnj,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-edrqr32,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
desktop-t6b8mrt,b'Windows 10 Pro 17134', ,huntress, ,sentinelone
digac037fa0, ,cybercns-sec-vm, , , 
digac037fd5, ,cybercns-sec-vm, , , 
digac038095, ,cybercns-sec-vm, , , 
digac03c51c, ,cybercns-sec-vm, , , 
digac03c551, ,cybercns-sec-vm, , , 
digac03c573, ,cybercns-sec-vm, , , 
digac03c587, ,cybercns-sec-vm, , , 
digac03c591, ,cybercns-sec-vm, , , 
digac03c593, ,cybercns-sec-vm, , , 
digac03c76c, ,cybercns-sec-vm, , , 
digac03c771, ,cybercns-sec-vm, , , 
digac03c77f, ,cybercns-sec-vm, , , 
digac03c7be, ,cybercns-sec-vm, , , 
digac03c7c4, ,cybercns-sec-vm, , , 
digac03c7c5, ,cybercns-sec-vm, , , 
digac03c7c9, ,cybercns-sec-vm, , , 
digac03c7d6, ,cybercns-sec-vm, , , 
digac045f4b, ,cybercns-sec-vm, , , 
digac045f50, ,cybercns-sec-vm, , , 
digac045f52, ,cybercns-sec-vm, , , 
digac045f9c, ,cybercns-sec-vm, , , 
digac045fa4, ,cybercns-sec-vm, , , 
dms10,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
dms2,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
dms4,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
dms5,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
dms8,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
doi,b'linux_kernel',cybercns-sec-vm, , , 
douge2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
duo,b'Windows Server 2019 Standard 17763',cybercns-sec-vm, ,microsoft-ad,sentinelone
eap225-outdoor-34-60-f9-bb-b1-10, ,cybercns-sec-vm, , , 
elizabethk1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
elizabeths1,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
emergency1,b'Windows 7 Professional  7601 SP1',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
emergency2,b'Windows 7 Professional  7601 SP1',cybercns-sec-vm, ,microsoft-ad,sentinelone
emergserver,b'Windows 7 Professional  7601 SP1',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
emt1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
eng1,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
eng2,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
eng3,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
eng4,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
engl10,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
engl12,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
engl21,b'Windows 10 Pro', ,huntress, , 
engl4,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
engl6,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
engl9,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
esxi1,b'VMware ESXi 6.7.0',cybercns-sec-vm, , , 
esxi1-idrac,b'dell iDRAC9_firmware',cybercns-sec-vm, , , 
esxi2,b'VMware ESXi 6.7.0',cybercns-sec-vm, , , 
esxi2-idrac,b'dell iDRAC9_firmware',cybercns-sec-vm, , , 
esxi3,b'VMware ESXi 6.7.0',cybercns-sec-vm, , , 
esxi3-idrac,b'dell iDRAC9_firmware',cybercns-sec-vm, , , 
et00040033332d,b'Lexmark T642 version NS.NP.N118 kernel 2.6.6 All-N-1',cybercns-sec-vm, , , 
et00040055c403,b'Lexmark T642 version NS.NP.N118 kernel 2.6.6 All-N-1',cybercns-sec-vm, , , 
et0004005e6d1f,b'Lexmark T642 version NS.NP.N219 kernel 2.6.6 All-N-1',cybercns-sec-vm, , , 
et000400735dfb,b'Lexmark T642 version NS.NP.N118 kernel 2.6.6 All-N-1',cybercns-sec-vm, , , 
et000400b3666b,b'Lexmark T642 version NS.NP.N118 kernel 2.6.6 All-N-1',cybercns-sec-vm, , , 
et000400d5537a,b'Lexmark T642 version NS.NP.N118 kernel 2.6.6 All-N-1',cybercns-sec-vm, , , 
et0021b704fc06,b'linux based os',cybercns-sec-vm, , , 
et0021b704fcfa,b'Lexmark T650 version NR.APS.N368cWS kernel 2.6.18.5 All-N-1',cybercns-sec-vm, , , 
et0021b71334d8,b'linux based os',cybercns-sec-vm, , , 
et0021b729fdfb,b'Lexmark MS610de version NH.CY.N439 kernel 3.0.0 All-N-1',cybercns-sec-vm, , , 
et0021b738b607,b'Lexmark T650 version NR.APS.N368 kernel 2.6.18.5 All-N-1',cybercns-sec-vm, , , 
et0021b75951d5,b'Lexmark MS610de version NH.CY.N439 kernel 3.0.0 All-N-1',cybercns-sec-vm, , , 
et0021b759b528,b'Lexmark MS610de version NH.CY.N439 kernel 3.0.0 All-N-1',cybercns-sec-vm, , , 
et0021b7774709,b'Lexmark B2442dw version MSNGM.052.023 kernel 4.11.12-yocto-standard-33ac965e10875c0d66fcd35d48ee8b23 All-N-1',cybercns-sec-vm, , , 
et0021b77747c9,b'Lexmark B2442dw version MSNGM.052.023 kernel 4.11.12-yocto-standard-33ac965e10875c0d66fcd35d48ee8b23 All-N-1',cybercns-sec-vm, , , 
et0021b7775cf2,b'Lexmark MB2442adwe version MXTGM.050.040 kernel 4.11.12-yocto-standard-8f2c0b832810469e4915bc3ae5f35ba9 All-N-1',cybercns-sec-vm, , , 
et0021b77f31fd,b'Lexmark B2442dw version MSNGM.053.013 kernel 4.11.12-yocto-standard-79d23d13d766d347fedc6c4c98bc0aba All-N-1',cybercns-sec-vm, , , 
et0021b786fe23,b'Lexmark T650 version NR.APS.N644 kernel 2.6.18.5 All-N-1',cybercns-sec-vm, , , 
et0021b798d0fb,b'Lexmark T650 version NR.APS.N447b2 kernel 2.6.18.5 All-N-1',cybercns-sec-vm, , , 
et0021b79e4c1b,b'Lexmark MS610de version NW2.CY.N235 kernel 3.0.0 All-N-1',cybercns-sec-vm, , , 
et0021b7b71bf0,b'Lexmark B2442dw version MSNGM.050.040 kernel 4.11.12-yocto-standard-8f2c0b832810469e4915bc3ae5f35ba9 All-N-1',cybercns-sec-vm, , , 
et0021b7b75b07,b'Lexmark B2442dw version MSNGM.050.040 kernel 4.11.12-yocto-standard-8f2c0b832810469e4915bc3ae5f35ba9 All-N-1',cybercns-sec-vm, , , 
