Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
adam-surface,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
amatsko-w10-dt,b'Windows 10 Pro', , ,microsoft-ad, 
beth-office-w10,b'Windows 10 Pro', ,huntress,microsoft-ad, 
chris-lt-w10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
chris-ws-w10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
david-e7200,b'Windows 11 Pro', ,huntress,microsoft-ad, 
desktop-fbkqj1a,b'Windows 10 Pro 19042',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ems2020,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-01-w10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
neco-lt-11,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
neco-lt-12,b'Windows 11 Pro',cybercns-sec-vm,huntress,microsoft-ad, 
necodc01,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
necofs01,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
necohv02,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
necoutil,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ryanm2-e7270,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-amy-w10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-andrew-w10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-bryn-w10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-chavan-w10,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-ellen-w10,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-eross-w11,b'Windows 11 Pro', ,huntress,microsoft-ad, 
xps-ian-w10,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-kasey-w10,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
xps-kgregg,b'Windows 10 Pro', ,huntress,microsoft-ad, 
xps-lisa-w10,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-matts-w10,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
xps-sylvan-w10,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
