Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
abrookslt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
abrookstb,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
admctr,b'Windows Server 2019 Datacenter 17763', ,huntress,microsoft-ad,sentinelone
advault,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
amoodylt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
apendleylt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
arichardslt,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
arinklt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
aroxinlt2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
asalazarlt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
asalazarlt2,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
ashimi7560,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
astercklt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
astercklt2,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
atunnelllt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
awhiterlt64,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
awrightlt2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
bbandylt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
bdunnltold,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
bharplt2,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
bmckenzielt,b'Windows 10 Pro', ,huntress,microsoft-ad, 
bpharrislt,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
breyestb,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cboydlt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cboydlt2,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
cbutlerlt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ceagarlt2,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
ceiklorlt2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfcsecure,b'Windows Server 2016 Datacenter 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfowlerlt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cgerbigrlt,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
chanselrlt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cptracking,b'Windows Server 2022 Datacenter 20348', ,huntress,microsoft-ad,sentinelone
croelt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
crushinglt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
crushinglt2,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
cvineslt2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cwadedt,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cwadetb,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dc1,b'Windows Server 2022 Datacenter 20348', ,huntress,microsoft-ad,sentinelone
dc2,b'Windows Server 2022 Datacenter 20348', ,huntress,microsoft-ad,sentinelone
dcunninghamlt,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
deploy,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-f0qg9j3,b'Windows 10 Pro 18362',cybercns-sec-vm,huntress, ,sentinelone
dfisherlt,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
