Asset Name,OS,huntress,microsoft-ad,sentinelone
rcxdsk-1871,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxdsk-4483,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxdsk-6464,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxdsk-6466,b'Windows 10 Pro', ,microsoft-ad, 
rcxdsk-6479,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxdsk-6892,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxdsk-6893,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxdsk-6900,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxdsk-6901,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxdsk-6917,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxdsk-7530-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxdsk-8317,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxdsk-8512,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxdsk-fix101,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxdsk-fix104,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxdsk-fix106,b'Windows 10 Pro 17134',huntress,microsoft-ad,sentinelone
rcxdsk-gdurbin,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxdsk-hfortnof,b'Windows 7 Professional  7601 SP1',huntress,microsoft-ad,sentinelone
rcxdsk-tonyanew,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxlap-6467,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxlap-dmartin,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxlap-fears,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxlap-gabby,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxlap-mmazzocco,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxlap-psiler-21,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxlap-sfeist-20,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
rcxlap-weber,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rcxsrv-dc,b'Windows Server 2016 Standard 14393',huntress,microsoft-ad,sentinelone
