Asset Name,OS,huntress,microsoft-ad,sentinelone
latitude3400js,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
latitude3420,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
latitude5410jr,b'Windows 10 Pro', ,microsoft-ad, 
latitude5420,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
latitude5490kr,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
latitude7420,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
opti9010test,b'Windows 10 Pro 19044',huntress, ,sentinelone
optiplex3020tt,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
optiplex5060cp,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
precision3540mo,b'Windows 10 Pro', ,microsoft-ad, 
rs1,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
rs2,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
w10-cad1,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
w10-desk-cathyp,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
w10-lap-2in1,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
w10-lap-billw,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
w10-lap-cad3,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
w10-lap-field17,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
w10-lap-field18,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
w10-lap-field19,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
w10-lap-field23,b'Windows 10 Pro 19044', ,microsoft-ad,sentinelone
w10-lap-pm3,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
w10-lap-wes,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
w10-laptop-pm1,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
w10-laptop-pt,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
w10-laptopsw,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
w10-latitude-ld,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
w10latitude3400,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
w7-lap-field16,b'Windows 10 Pro 19044',huntress, ,sentinelone
win11-front1,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
