Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
agclass,b'Windows 10 Pro', ,huntress,microsoft-ad,sentinelone
allisons-macbook-air,b'OS X 10.13.6 (17G14042)', , , ,sentinelone
alyssasmith,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ayounkin,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
barlow,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
bfreese,b'Windows 7 Professional  7601 SP1', ,huntress,microsoft-ad,sentinelone
bgarland,b'Windows 10 Education 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
brennabarsic,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
bstempora,b'Windows 10 Education 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cshilk,b'Windows 10 Education 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
daniels,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-2p349lf,b'Windows 10 Pro 19044',cybercns-sec-vm, , ,sentinelone
desktop-53f239b,b'Windows 11 Pro 22621',cybercns-sec-vm, , ,sentinelone
desktop-6imvobp,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-80n5cea,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-8mdidjr,b'Windows 10 Education 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-aoe9udr,b'Windows 10 Education 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-d7bhmfo,b'Windows 10 Pro 19045',cybercns-sec-vm, , ,sentinelone
desktop-lm5vjt5,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
desktop-o4dk23h,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-odiaoc3,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-phv9n15,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-pvcvpca,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-sni5dmd,b'Windows 10 Pro 19044',cybercns-sec-vm, ,microsoft-ad,sentinelone
desktop-ss3r6uk,b'Windows 10 Home 19045',cybercns-sec-vm,huntress, ,sentinelone
desktop-tfghnhh,b'Windows 11 Home 22621', , , ,sentinelone
gary112,b'Windows 10 Pro', , ,microsoft-ad, 
hoover320,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone
imac,b'OS X 12.3.1 (21E258)', , , ,sentinelone
iu8-13594l,b'Windows 10 Pro',cybercns-sec-vm, , , 
iu8-13594l,b'Windows 10 Pro 19045', , , ,sentinelone
jbower,b'Windows 10 Education 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
joannanieves,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
kathys-imac,b'OS X 12.3.1 (21E258)', , , ,sentinelone
kreger-pc,b'Windows 7 Professional', ,huntress,microsoft-ad, 
ksmiths-imac,b'OS X 12.6.5 (21G531)', , , ,sentinelone
laptop-2rj37i7q,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-3nhkdo5p,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-3vhir4a5,b'Windows 10 Pro 19044',cybercns-sec-vm, ,microsoft-ad,sentinelone
laptop-47hrsnlu,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-4vnk8u88,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-570dp4pj,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-5s6cvogi,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-6vurmsqp,b'Windows 10 19043', , ,microsoft-ad,sentinelone
laptop-814mgkeo,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-9jhorcgk,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-a9pk9i4b,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-aca1qn98,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-ad,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone
laptop-b9319p2s,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-bnmdoh8o,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-clq85nf3,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-ejp1dr5g,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-eoptf6ou,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-fegkqcnp,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
laptop-get57at4,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad, 
