Asset Name,OS,huntress,microsoft-ad,sentinelone
alofficepc,b'Windows 11 Pro 22621',huntress, ,sentinelone
andyofficepc,b'Windows 11 Pro 22621',huntress, ,sentinelone
angieslaptoppc,b'Windows 10 Pro 19045',huntress, ,sentinelone
bethofficepc,b'Windows 11 Pro for Workstations 22621',huntress, ,sentinelone
brianofficepc,b'Windows 11 Pro 22000',huntress, ,sentinelone
chrislofficepc,b'Windows 11 Pro 22000',huntress, ,sentinelone
christinamofficepc,b'Windows 11 Pro 22000',huntress, ,sentinelone
courtneyofficep,b'Windows 11 Pro 22621',huntress, ,sentinelone
dc01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
dc02,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
desktop-032871,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
desktop-1ip052d,b'Windows 10 Pro', ,microsoft-ad, 
desktop-1m4ocag,b'Windows 10 Pro', ,microsoft-ad, 
desktop-1vfnp6n,b'Windows 10 Pro 18363',huntress,microsoft-ad,sentinelone
desktop-2cmav04,b'Windows 10 Pro 19045',huntress, ,sentinelone
desktop-37u6ip0,b'Windows 10 Pro', ,microsoft-ad, 
desktop-52pu01s,b'Windows 11 Pro', ,microsoft-ad, 
desktop-5lafkeu,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-712803,b'Windows 11 Pro 22621',huntress, ,sentinelone
desktop-778hp10,b'Windows 10 Pro',huntress, , 
desktop-7s2j7ev,b'Windows 10 Pro', ,microsoft-ad, 
desktop-aod0u0n,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
desktop-ar2u58q,b'Windows 11 Pro 22621',huntress, ,sentinelone
desktop-b017ng0,b'Windows 10 Pro', ,microsoft-ad, 
desktop-dcuqut0,b'Windows 10 Pro', ,microsoft-ad, 
desktop-e2k9cv6,b'Windows 11 Pro for Workstations', ,microsoft-ad, 
desktop-e4lev9r,b'Windows 10 Pro', ,microsoft-ad, 
desktop-ee5bhtd,b'Windows 11 Pro for Workstations 22000',huntress, ,sentinelone
desktop-gq64sg9,b'Windows 10 Pro', ,microsoft-ad, 
desktop-i6c1cga,b'Windows 10 Pro', ,microsoft-ad, 
desktop-jeg6s1k,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
desktop-jhlsdi0,b'Windows 10 Pro', ,microsoft-ad, 
