Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
7genhvac-pc,b'Windows 10 Pro 19044', ,huntress, ,sentinelone
alicef-hp,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-08e7rkr,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-0bqds9o,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-0rf5p6p,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-28k4ss2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-3ihn724,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-3p1pae7,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-4nbhosb,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-5dgfiis,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-66ie3j4,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-6mtc9ek,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-7agslis,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone
desktop-83nkmnc,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-88rbo1k,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-8uvo9lk,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-9llcja8,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-9ore3me,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-acfm29j,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-b72sr2m,b'Windows 10 Pro', , ,microsoft-ad, 
desktop-b8c83nj,b'Windows 10 Pro', , ,microsoft-ad, 
desktop-b8q18f2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-ckbslpq,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-d43pola,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,sentinelone
desktop-e6r1l34,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone
desktop-g8oc0h5,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone
desktop-ggf2efo,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress, ,sentinelone
desktop-i33t4cf,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-ikihh0r,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-j2ht3q3,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-jvvarmm,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-lndpsf2,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-lp1jhav,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-nr0v46g,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress, ,sentinelone
desktop-o2q35hu,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-ohn9k4p,b'Windows 10 Home 19045',cybercns-sec-vm,huntress, ,sentinelone
desktop-q8g7ev4,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-qccaslc,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-qh7iajs,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad, 
desktop-qih5ia7,b'Windows 10 Pro', , ,microsoft-ad, 
desktop-r2k5k80,b'Windows 11 Pro', , ,microsoft-ad, 
desktop-s8g6igs,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-siq8qkr,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone
desktop-sth8kv3,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone
kaitlyn-imac-pro,b'Mac OS X', , ,microsoft-ad, 
laptop-img8hjvc,b'Windows 10 Pro', , ,microsoft-ad, 
